Stock,Date,Close,Open,High,Volume
TSLA,2022-01-18,314.63,342.20,356.93,105445556.00
TSLA,2022-01-24,282.11,301.58,329.23,208578950.00
TSLA,2022-01-31,307.77,290.90,314.56,132282831.00
TSLA,2022-02-07,286.66,307.93,315.92,103251907.00
TSLA,2022-02-14,285.66,287.19,308.81,100126871.00
TSLA,2022-02-22,269.95,278.04,285.58,129978416.00
TSLA,2022-02-28,279.43,271.67,296.62,125740178.00
TSLA,2022-03-07,265.11,285.43,288.71,112587689.00
TSLA,2022-03-14,301.79,260.20,302.61,129673130.00
TSLA,2022-03-21,336.88,304.99,346.90,146492926.00
TSLA,2022-03-28,361.53,355.03,371.59,113080628.00
TSLA,2022-04-04,341.83,363.12,384.29,128687334.00
TSLA,2022-04-11,328.33,326.80,342.08,79625639.00
TSLA,2022-04-18,335.01,329.67,364.07,115795758.00
TSLA,2022-04-25,290.25,326.32,336.20,164837640.00
TSLA,2022-05-02,288.55,286.92,318.50,128852318.00
TSLA,2022-05-09,256.53,278.81,281.87,168299966.00
TSLA,2022-05-16,221.30,255.72,256.58,163138813.00
TSLA,2022-05-23,253.21,218.34,253.26,155144601.00
TSLA,2022-05-31,234.51,257.94,264.21,128343063.00
TSLA,2022-06-06,232.23,244.35,255.54,142601983.00
TSLA,2022-06-13,216.76,223.16,235.66,173306821.00
TSLA,2022-06-21,245.70,224.60,246.83,141431196.00
TSLA,2022-06-27,227.26,249.36,252.07,143934321.00
TSLA,2022-07-05,250.76,223.00,254.98,113472506.00
TSLA,2022-07-11,240.06,252.10,253.06,144545065.00
TSLA,2022-07-18,272.24,244.93,280.78,165932217.00
TSLA,2022-07-25,297.15,272.21,298.32,133013375.00
TSLA,2022-08-01,288.17,301.27,313.60,159380225.00
TSLA,2022-08-08,300.03,295.00,305.20,143447053.00
TSLA,2022-08-15,296.66,301.78,314.66,118385794.00
TSLA,2022-08-22,288.09,291.91,303.64,169423329.00
TSLA,2022-08-29,270.21,282.83,288.48,249690952.00
TSLA,2022-09-06,299.68,272.68,299.85,214072878.00
TSLA,2022-09-12,303.35,300.72,309.12,341416185.00
TSLA,2022-09-19,300.80,300.09,313.80,184429595.00
UNH,2021-09-20,407.08,416.92,419.30,13443644.00
UNH,2021-09-27,392.43,407.83,412.15,14707036.00
UNH,2021-10-04,408.46,391.62,409.12,13979740.00
UNH,2021-10-11,428.07,408.00,433.50,16953500.00
UNH,2021-10-18,449.16,428.00,449.29,11815027.00
UNH,2021-10-25,460.47,450.00,461.39,14348550.00
UNH,2021-11-01,455.81,461.82,465.76,12663968.00
UNH,2021-11-08,458.99,456.85,466.00,12612317.00
UNH,2021-11-15,440.00,458.00,458.35,14125057.00
UNH,2021-11-22,439.91,442.82,450.98,10185900.00
UNH,2021-11-29,449.32,443.56,455.92,23618260.00
UNH,2021-12-06,478.23,452.15,478.48,16605020.00
UNH,2021-12-13,487.12,477.02,496.96,19728894.00
UNH,2021-12-20,495.38,482.00,498.15,9075864.00
UNH,2021-12-27,502.14,498.68,509.23,7424172.00
UNH,2022-01-03,458.60,500.00,503.75,22912732.00
UNH,2022-01-10,468.69,456.00,476.55,19337719.00
UNH,2022-01-18,461.17,465.17,475.49,15472345.00
UNH,2022-01-24,466.06,458.07,468.68,19520505.00
UNH,2022-01-31,483.17,465.00,500.18,17113328.00
UNH,2022-02-07,478.13,484.91,500.93,14409886.00
UNH,2022-02-14,467.81,475.11,481.73,13597854.00
UNH,2022-02-22,475.75,463.83,475.78,13117671.00
UNH,2022-02-28,498.65,465.85,499.66,17823704.00
UNH,2022-03-07,482.87,500.00,500.00,16538380.00
UNH,2022-03-14,506.12,490.40,510.68,16667051.00
UNH,2022-03-21,513.03,505.01,516.53,13464223.00
UNH,2022-03-28,512.59,514.32,521.89,15486467.00
UNH,2022-04-04,545.96,512.21,548.97,16735857.00
UNH,2022-04-11,534.82,543.60,553.29,14372965.00
UNH,2022-04-18,520.94,537.90,548.36,13274430.00
UNH,2022-04-25,508.55,520.40,526.28,14736929.00
UNH,2022-05-02,499.62,510.81,513.51,16570336.00
UNH,2022-05-09,485.40,490.40,500.52,18525965.00
UNH,2022-05-16,485.73,485.41,495.56,14750275.00
UNH,2022-05-23,507.11,486.29,507.26,14154408.00
UNH,2022-05-31,485.61,503.62,504.11,9619740.00
UNH,2022-06-06,484.63,489.43,497.90,13140710.00
UNH,2022-06-13,452.06,475.13,481.34,18542609.00
UNH,2022-06-21,495.64,457.81,503.58,31337919.00
UNH,2022-06-27,517.40,492.83,518.70,18704913.00
UNH,2022-07-05,518.63,507.64,528.37,11014091.00
UNH,2022-07-11,529.75,514.86,531.99,17425987.00
UNH,2022-07-18,521.41,531.00,534.05,15011094.00
UNH,2022-07-25,542.34,526.09,544.34,12519361.00
UNH,2022-08-01,535.06,542.27,543.65,10993535.00
UNH,2022-08-08,543.70,539.91,545.74,11083035.00
UNH,2022-08-15,548.32,541.67,553.13,8436759.00
UNH,2022-08-22,529.25,541.39,549.52,9346821.00
UNH,2022-08-29,516.35,526.00,532.90,10528744.00
UNH,2022-09-06,524.34,519.93,528.49,9269570.00
UNH,2022-09-12,521.02,525.00,535.02,15652824.00
UNH,2022-09-19,512.08,518.59,528.01,6980243.00
JNJ,2021-09-20,164.36,163.48,165.98,28689262.00
JNJ,2021-09-27,160.47,164.00,165.40,34052794.00
JNJ,2021-10-04,160.93,159.99,162.61,30715318.00
JNJ,2021-10-11,161.30,160.86,161.86,29188979.00
JNJ,2021-10-18,163.72,160.25,165.15,32378526.00
JNJ,2021-10-25,162.88,163.72,166.03,35478893.00
JNJ,2021-11-01,163.43,163.16,166.98,35455127.00
JNJ,2021-11-08,165.01,163.68,167.62,41030912.00
JNJ,2021-11-15,162.89,165.00,165.46,34493988.00
JNJ,2021-11-22,159.20,161.03,162.64,29132051.00
JNJ,2021-11-29,159.38,159.50,160.42,54091870.00
JNJ,2021-12-06,165.49,160.19,166.69,39366110.00
JNJ,2021-12-13,168.23,164.75,173.51,55907556.00
JNJ,2021-12-20,168.25,167.81,168.95,23588592.00
JNJ,2021-12-27,171.07,169.14,172.88,19195380.00
JNJ,2022-01-03,173.95,170.21,174.30,34064878.00
JNJ,2022-01-10,167.84,173.69,173.69,36162999.00
JNJ,2022-01-18,164.87,167.10,168.72,30303995.00
JNJ,2022-01-24,171.79,164.00,171.91,56984033.00
JNJ,2022-01-31,171.63,171.50,173.62,36225205.00
JNJ,2022-02-07,167.71,171.41,172.24,41230187.00
JNJ,2022-02-14,163.36,167.71,168.10,36658389.00
JNJ,2022-02-22,166.00,163.58,166.99,39109586.00
JNJ,2022-02-28,169.48,162.87,169.86,38541142.00
JNJ,2022-03-07,169.35,168.30,173.12,41371756.00
JNJ,2022-03-14,174.84,170.68,177.00,49169129.00
JNJ,2022-03-21,176.92,174.66,177.70,31093590.00
JNJ,2022-03-28,178.19,176.65,180.21,35831200.00
JNJ,2022-04-04,182.12,178.19,183.19,39167518.00
JNJ,2022-04-11,179.90,183.00,184.20,23720887.00
JNJ,2022-04-18,181.54,179.73,185.94,43717401.00
JNJ,2022-04-25,180.46,182.34,186.69,50326099.00
JNJ,2022-05-02,176.37,180.47,181.41,32490419.00
JNJ,2022-05-09,176.85,175.45,179.18,36811553.00
JNJ,2022-05-16,176.98,176.85,179.70,34273237.00
JNJ,2022-05-23,181.09,177.60,181.74,32771029.00
JNJ,2022-05-31,176.42,178.00,180.17,34467581.00
JNJ,2022-06-06,172.55,177.21,179.45,27325708.00
JNJ,2022-06-13,169.46,170.08,172.25,42453441.00
JNJ,2022-06-21,182.29,170.75,182.53,38411015.00
JNJ,2022-06-27,179.52,181.64,183.35,38559563.00
JNJ,2022-07-05,178.28,178.83,179.99,20567208.00
JNJ,2022-07-11,178.23,177.70,179.02,24696683.00
JNJ,2022-07-18,172.12,177.74,178.19,38304143.00
JNJ,2022-07-25,174.52,172.12,176.09,25575763.00
JNJ,2022-08-01,171.11,174.17,175.49,27152634.00
JNJ,2022-08-08,165.30,171.30,171.48,39702395.00
JNJ,2022-08-15,169.31,166.00,170.12,41372877.00
JNJ,2022-08-22,164.27,168.90,168.92,28058973.00
JNJ,2022-08-29,162.74,163.47,166.20,34287509.00
JNJ,2022-09-06,165.71,163.94,166.22,23281514.00
JNJ,2022-09-12,167.60,166.11,167.63,50023397.00
JNJ,2022-09-19,163.28,166.30,166.80,22595542.00
TSM,2021-09-20,115.64,115.20,116.97,32459423.00
TSM,2021-09-27,111.56,115.70,116.57,33266540.00
