indexkey,Symbol,Date,Volume_Traded
12500,UBER,2022-07-15,24503631.0
12501,UBER,2022-07-18,30935860.0
12502,UBER,2022-07-19,23148938.0
12503,UBER,2022-07-20,27844618.0
12504,UBER,2022-07-21,18425364.0
12505,UBER,2022-07-22,20209442.0
12506,UBER,2022-07-25,12923042.0
12507,UBER,2022-07-26,24402801.0
12508,UBER,2022-07-27,28384348.0
12509,UBER,2022-07-28,22886075.0
12510,UBER,2022-07-29,29406649.0
12511,UBER,2022-08-01,46960678.0
12512,UBER,2022-08-02,107926256.0
12513,UBER,2022-08-03,62061199.0
12514,UBER,2022-08-04,55573597.0
12515,UBER,2022-08-05,39963623.0
12516,UBER,2022-08-08,28064916.0
12517,UBER,2022-08-09,27042937.0
12518,UBER,2022-08-10,31318068.0
12519,UBER,2022-08-11,24624627.0
12520,UBER,2022-08-12,21950694.0
12521,UBER,2022-08-15,14149208.0
12522,UBER,2022-08-16,28072342.0
12523,UBER,2022-08-17,24239351.0
12524,UBER,2022-08-18,20831615.0
12525,UBER,2022-08-19,24180912.0
12526,UBER,2022-08-22,20233070.0
12527,UBER,2022-08-23,24298325.0
12528,UBER,2022-08-24,20022520.0
12529,UBER,2022-08-25,15470918.0
12530,UBER,2022-08-26,16490809.0
12531,UBER,2022-08-29,17245101.0
12532,UBER,2022-08-30,24409322.0
12533,UBER,2022-08-31,20740662.0
12534,UBER,2022-09-01,17828091.0
12535,UBER,2022-09-02,14604356.0
12536,UBER,2022-09-06,20422802.0
12537,UBER,2022-09-07,20632173.0
12538,UBER,2022-09-08,29393512.0
12539,UBER,2022-09-09,28055864.0
12540,UBER,2022-09-12,29349907.0
12541,UBER,2022-09-13,29364741.0
12542,UBER,2022-09-14,34493388.0
12543,UBER,2022-09-15,41849089.0
12544,UBER,2022-09-16,50970679.0
12545,UBER,2022-09-19,22867569.0
12546,UBER,2022-09-20,23652413.0
12547,UBER,2022-09-21,22328370.0
12548,UBER,2022-09-22,29038114.0
12549,UBER,2022-09-23,26472605.0
12550,OXY,2021-09-27,26376700.0
12551,OXY,2021-09-28,29296291.0
12552,OXY,2021-09-29,16325025.0
12553,OXY,2021-09-30,19182661.0
12554,OXY,2021-10-01,19625070.0
12555,OXY,2021-10-04,25391782.0
12556,OXY,2021-10-05,27604486.0
12557,OXY,2021-10-06,22400601.0
12558,OXY,2021-10-07,21848876.0
12559,OXY,2021-10-08,20246908.0
12560,OXY,2021-10-11,21394944.0
12561,OXY,2021-10-12,15502163.0
12562,OXY,2021-10-13,14943948.0
12563,OXY,2021-10-14,17846836.0
12564,OXY,2021-10-15,14781603.0
12565,OXY,2021-10-18,25900791.0
12566,OXY,2021-10-19,13006205.0
12567,OXY,2021-10-20,15636573.0
12568,OXY,2021-10-21,14869306.0
12569,OXY,2021-10-22,15000961.0
12570,OXY,2021-10-25,19253696.0
12571,OXY,2021-10-26,15398121.0
12572,OXY,2021-10-27,20124769.0
12573,OXY,2021-10-28,12039168.0
12574,OXY,2021-10-29,13346473.0
12575,OXY,2021-11-01,14134073.0
12576,OXY,2021-11-02,11557958.0
12577,OXY,2021-11-03,13783969.0
12578,OXY,2021-11-04,20375392.0
12579,OXY,2021-11-05,18862583.0
12580,OXY,2021-11-08,14267474.0
12581,OXY,2021-11-09,13200068.0
12582,OXY,2021-11-10,17560966.0
12583,OXY,2021-11-11,10684973.0
12584,OXY,2021-11-12,10241314.0
12585,OXY,2021-11-15,10287627.0
12586,OXY,2021-11-16,10348517.0
12587,OXY,2021-11-17,14406073.0
12588,OXY,2021-11-18,12789728.0
12589,OXY,2021-11-19,19311137.0
12590,OXY,2021-11-22,16567328.0
12591,OXY,2021-11-23,21492547.0
12592,OXY,2021-11-24,11491014.0
12593,OXY,2021-11-26,22787824.0
12594,OXY,2021-11-29,15448122.0
12595,OXY,2021-11-30,20779594.0
12596,OXY,2021-12-01,19018772.0
12597,OXY,2021-12-02,18877793.0
12598,OXY,2021-12-03,15148793.0
12599,OXY,2021-12-06,11188796.0
12600,OXY,2021-12-07,13643812.0
12601,OXY,2021-12-08,11473683.0
12602,OXY,2021-12-09,9111662.0
12603,OXY,2021-12-10,9672303.0
12604,OXY,2021-12-13,12525655.0
12605,OXY,2021-12-14,14116384.0
12606,OXY,2021-12-15,19091740.0
12607,OXY,2021-12-16,13027229.0
12608,OXY,2021-12-17,23540994.0
12609,OXY,2021-12-20,21316192.0
12610,OXY,2021-12-21,13116158.0
12611,OXY,2021-12-22,8381044.0
12612,OXY,2021-12-23,8401591.0
12613,OXY,2021-12-27,8380047.0
12614,OXY,2021-12-28,9545606.0
12615,OXY,2021-12-29,11311012.0
12616,OXY,2021-12-30,9509485.0
12617,OXY,2021-12-31,8669155.0
12618,OXY,2022-01-03,15095852.0
12619,OXY,2022-01-04,26692372.0
12620,OXY,2022-01-05,21157260.0
12621,OXY,2022-01-06,18528246.0
12622,OXY,2022-01-07,14884484.0
12623,OXY,2022-01-10,17609662.0
12624,OXY,2022-01-11,20876121.0
12625,OXY,2022-01-12,15501767.0
12626,OXY,2022-01-13,13529490.0
12627,OXY,2022-01-14,19566035.0
12628,OXY,2022-01-18,24419099.0
12629,OXY,2022-01-19,18393252.0
12630,OXY,2022-01-20,16099275.0
12631,OXY,2022-01-21,18434140.0
12632,OXY,2022-01-24,23742862.0
12633,OXY,2022-01-25,28095586.0
12634,OXY,2022-01-26,25911607.0
12635,OXY,2022-01-27,21102662.0
12636,OXY,2022-01-28,16658181.0
12637,OXY,2022-01-31,16469302.0
12638,OXY,2022-02-01,20514773.0
12639,OXY,2022-02-02,14752748.0
12640,OXY,2022-02-03,22557478.0
12641,OXY,2022-02-04,23757400.0
12642,OXY,2022-02-07,15544015.0
12643,OXY,2022-02-08,20307525.0
12644,OXY,2022-02-09,16412010.0
12645,OXY,2022-02-10,17756306.0
12646,OXY,2022-02-11,24477906.0
12647,OXY,2022-02-14,21485913.0
12648,OXY,2022-02-15,23618152.0
12649,OXY,2022-02-16,18292088.0
12650,OXY,2022-02-17,15162786.0
12651,OXY,2022-02-18,14462708.0
12652,OXY,2022-02-22,20757170.0
12653,OXY,2022-02-23,15379390.0
12654,OXY,2022-02-24,32173767.0
12655,OXY,2022-02-25,29780441.0
12656,OXY,2022-02-28,50039517.0
12657,OXY,2022-03-01,68949820.0
12658,OXY,2022-03-02,51230106.0
12659,OXY,2022-03-03,43690512.0
12660,OXY,2022-03-04,101759603.0
12661,OXY,2022-03-07,81361215.0
12662,OXY,2022-03-08,81141767.0
12663,OXY,2022-03-09,134668989.0
12664,OXY,2022-03-10,81812591.0
12665,OXY,2022-03-11,48469639.0
12666,OXY,2022-03-14,53706914.0
12667,OXY,2022-03-15,49163860.0
12668,OXY,2022-03-16,43406316.0
12669,OXY,2022-03-17,59355480.0
12670,OXY,2022-03-18,40835935.0
12671,OXY,2022-03-21,52222959.0
12672,OXY,2022-03-22,35853513.0
12673,OXY,2022-03-23,39139724.0
12674,OXY,2022-03-24,28409085.0
12675,OXY,2022-03-25,37749900.0
12676,OXY,2022-03-28,24924672.0
12677,OXY,2022-03-29,29111203.0
12678,OXY,2022-03-30,26068990.0
12679,OXY,2022-03-31,32217545.0
12680,OXY,2022-04-01,21019029.0
12681,OXY,2022-04-04,19371054.0
12682,OXY,2022-04-05,22939267.0
12683,OXY,2022-04-06,27902977.0
12684,OXY,2022-04-07,24408341.0
12685,OXY,2022-04-08,41639002.0
12686,OXY,2022-04-11,27618031.0
12687,OXY,2022-04-12,26820867.0
12688,OXY,2022-04-13,21358382.0
12689,OXY,2022-04-14,18789385.0
12690,OXY,2022-04-18,30802492.0
12691,OXY,2022-04-19,19514640.0
12692,OXY,2022-04-20,20837836.0
12693,OXY,2022-04-21,32050433.0
12694,OXY,2022-04-22,22816947.0
